Transcript/RepeatID (cmd=analyzeRepeats.pl rna hg19 -count pausing -condenseGenes -norm 1e6 -d /research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Pausing Ratio	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Promoter Reads (-50,200)	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ GeneBody Reads (200,5000)
NM_001255995	chr14	76452056	76457106	+	250.0	1	IFT43|C14orf179|CED3|RP81|SRTD18|-|14q24.3|protein-coding	3.564	1.160	4.428
NR_036217	chr1	37627114	37632164	+	250.0	1	MIR4255|-|-|1p34.3|ncRNA	1.000	0.000	0.000
NM_001039182	chr16	29460645	29465695	-	250.0	2	BOLA2B|BOLA2|-|16p11.2|protein-coding	0.800	0.000	0.633
NM_153252	chrX	80060376	80065426	-	250.0	1	BRWD3|BRODL|MRX93|-|Xq21.1|protein-coding	0.480	0.000	2.741
NR_147010	chr2	58502962	58508012	+	250.0	1	LINC01795|-|-|2p16.1|ncRNA	0.923	0.000	0.211
NM_024509	chr19	36427226	36432276	+	250.0	1	LRFN3|FIGLER1|SALM4|-|19q13.12|protein-coding	1.933	0.633	5.060
NM_021168	chr16	640016	645066	+	250.0	1	RAB40C|RARL|RASL8C|-|16p13.3|protein-coding	1.722	0.738	7.169
NM_001204358	chr4	168150645	168155695	-	250.0	1	SPOCK3|HSAJ1454|TES-3|TICN3|-|4q32.3|protein-coding	3.022	0.316	0.316
NR_110795	chr18	12025	17075	+	250.0	1	LOC102723376|-|-|10p15.3|ncRNA	0.960	0.000	0.105
NM_001330294	chr11	62594523	62599573	-	250.0	1	STX5|SED5|STX5A|-|11q12.3|protein-coding	3.257	1.370	6.325
NM_022163	chr15	89005619	89010669	-	250.0	1	MRPL46|C15orf4|LIECG2|P2ECSL|-|15q25.3|protein-coding	5.314	2.319	6.325
NR_003286	chrUn_gl000220	109028	114078	+	250.0	2	RNA18SN5|RN18S1|RNA18S5|-|-|rRNA	3.600	7.063	35.843
NR_046223	chr12	58005168	58010218	+	250.0	1	ARHGEF25|GEFT|p63RhoGEF|-|12q13.3|protein-coding	1.927	1.265	11.385
NM_006642	chr1	243419293	243424343	+	250.0	1	SDCCAG8|BBS16|CCCAP|CCCAP SLSN7|HSPC085|NPHP10|NY-CO-8|SLSN7|hCCCAP|-|1q43-q44|protein-coding	5.768	3.479	9.488
NR_159440	chr1	169764131	169769181	+	250.0	1	C1orf112|-|-|1q24.2|protein-coding	8.617	3.795	6.220
NM_018296	chr16	67360668	67365718	+	250.0	1	LRRC36|RORBP70|XLHSRF2|-|16q22.1|protein-coding	1.490	0.105	0.527
NM_003279	chr20	44450951	44456001	-	250.0	1	TNNC2|-|-|20q13.12|protein-coding	0.889	0.000	0.316
NM_175884	chr7	106296604	106301654	-	250.0	1	CCDC71L|C7orf74|-|7q22.3|protein-coding	2.400	0.738	4.428
NR_104196	chr17	56601828	56606878	-	250.0	1	SEPTIN4|ARTS|BRADEION|C17orf47|CE5B3|H5|MART|PNUTL2|SEP4|SEPT4|hCDCREL-2|hucep-7|-|17q22|protein-coding	2.147	0.316	1.476
NM_198137	chr1	26517069	26522119	+	250.0	1	CATSPER4|-|-|1p36.11|protein-coding	0.923	0.000	0.211
NM_001195135	chr19	58907407	58912457	+	250.0	1	RNF225|-|-|19q13.43|protein-coding	0.891	0.211	4.849
NR_033847	chr10	127403062	127408112	-	250.0	1	EDRF1-DT|-|-|10q26.2|ncRNA	3.863	0.738	1.792
NM_019094	chr12	93771651	93776701	+	250.0	1	NUDT4|DIPP-2B|DIPP2|DIPP2alpha|DIPP2beta|HDCMB47P|NUDT4B|-|12q22|protein-coding	3.420	1.370	5.904
NR_003232	chr14	101402778	101407828	+	250.0	1	SNORD113-4|14q(I-4)|-|14q32.31|snoRNA	1.000	0.000	0.000
NR_135640	chr1	79115424	79120474	+	250.0	1	IFI44|MTAP44|TLDC5|p44|-|1p31.1|protein-coding	1.000	0.000	0.000
NR_030215	chr19	54245716	54250766	+	250.0	1	MIR520H|MIRN520H|-|19q13.42|ncRNA	1.000	0.000	0.000
NR_126045	chr9	41950177	41955227	-	250.0	1	GLIDR|LINC01172|TCONS_00015562|-|9p12|ncRNA	4.187	0.949	2.425
NM_001349920	chr12	20975432	20980482	+	250.0	1	SLCO1B3|HBLRR|LST-2|LST-3TM13|LST3|OATP-8|OATP1B3|OATP8|SLC21A8|-|12p12.2|protein-coding	1.000	0.000	0.000
NR_029687	chr17	46109613	46114663	-	250.0	1	MIR152|MIRN152|mir-152|-|17q21.32|ncRNA	0.889	0.000	0.316
NM_001290205	chr3	53376570	53381620	-	250.0	1	DCP1A|HSA275986|Nbla00360|SMAD4IP1|SMIF|-|3p21.1|protein-coding	9.526	3.268	4.322
NM_205847	chr2	220363563	220368613	+	250.0	1	GMPPA|AAMR|-|2q35|protein-coding	1.509	0.738	8.539
NR_110480	chr15	22277981	22283031	+	250.0	1	LOC101927079|-|-|15q11.2|ncRNA	1.000	0.000	0.000
NM_001256125	chr1	203193801	203198851	-	250.0	1	CHIT1|CHI3|CHIT|CHITD|-|1q32.1|protein-coding	1.000	0.000	0.000
NM_001271995	chr19	4153578	4158628	+	250.0	1	CREB3L3|CREB-H|CREBH|HYST1481|-|19p13.3|protein-coding	0.923	0.000	0.211
NM_001146316	chr12	6977467	6982517	-	250.0	1	SPSB2|GRCC9|SSB2|-|12p13.31|protein-coding	0.298	0.949	67.047
NM_000939	chr2	25386449	25391499	-	250.0	1	POMC|ACTH|CLIP|LPH|MSH|NPP|OBAIRH|POC|-|2p23.3|protein-coding	0.923	0.000	0.211
NM_001284267	chr14	90416121	90421171	-	250.0	1	EFCAB11|C14orf143|-|14q32.11|protein-coding	6.809	1.476	2.003
NM_001164779	chr14	92567926	92572976	-	250.0	1	ATXN3|AT3|ATX3|JOS|MJD|MJD1|SCA3|-|14q32.12|protein-coding	1.300	0.211	2.530
NR_109839	chr13	60587387	60592437	+	250.0	1	DIAPH3-AS1|-|-|13q21.2|ncRNA	1.029	0.105	1.898
NM_001318509	chrX	108971486	108976536	-	250.0	1	ACSL4|ACS4|FACL4|LACS4|MRX63|MRX68|-|Xq23|protein-coding	4.800	1.370	3.479
NM_001330115	chr2	152825492	152830542	-	250.0	1	CACNB4|CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6|-|2q23.3|protein-coding	1.560	0.211	1.687
NM_002447	chr3	49936306	49941356	-	250.0	1	MST1R|CD136|CDw136|NPCA3|PTK8|RON|-|3p21.31|protein-coding	2.013	0.211	0.738
NM_001271643	chr2	43818177	43823227	-	250.0	1	THADA|ARMC13|GITA|-|2p21|protein-coding	4.476	1.687	5.271
NM_001142290	chr16	4674775	4679825	+	250.0	1	MGRN1|RNF156|-|16p13.3|protein-coding	7.861	2.846	4.744
NM_001161834	chr7	50135632	50140682	+	250.0	1	SPATA48|C7orf72|-|7p12.2|protein-coding	1.000	0.000	0.000
NM_152756	chr5	39069501	39074551	-	250.0	1	RICTOR|AVO3|PIA|hAVO3|-|5p13.1|protein-coding	3.010	0.843	3.690
NM_024015	chr17	46650712	46655762	-	250.0	1	HOXB4|HOX-2.6|HOX2|HOX2F|-|17q21.32|protein-coding	0.861	0.738	16.867
NM_001349455	chr15	25068705	25073755	+	250.0	1	SNRPN|HCERN3|PWCR|RT-LI|SM-D|SMN|SNRNP-N|SNURF-SNRPN|sm-N|-|15q11.2|protein-coding	1.000	0.000	0.000
NM_152374	chr1	36179485	36184535	-	250.0	1	C1orf216|-|-|1p34.3|protein-coding	1.236	0.316	4.428
NM_001005197	chr11	123777089	123782139	+	250.0	1	OR8D4|OR11-275|-|11q24.1|protein-coding	1.000	0.000	0.000
NR_146073	chr7	74938079	74943129	-	250.0	6	SPDYE13P|-|-|7q11.23|pseudo	0.857	0.000	0.422
NR_144342	chr19	36228353	36233403	-	250.0	1	IGFLR1|TMEM149|-|19q13.12|protein-coding	0.136	0.000	16.024
NM_145702	chr2	233410267	233415317	-	250.0	1	TIGD1|EEYORE|-|2q37.1|protein-coding	4.108	2.530	9.910
NR_029502	chr3	188406519	188411569	+	250.0	1	MIR28|MIRN28|hsa-mir-28|miR-28|-|3q28|ncRNA	0.889	0.000	0.316
NR_049796	chr2	75317889	75322939	+	250.0	1	MIR5000|-|-|2p12|ncRNA	0.774	0.000	0.738
NM_003069	chrX	128652467	128657517	-	250.0	1	SMARCA1|ISWI|NURF140|SNF2L|SNF2L1|SNF2LB|SNF2LT|SWI|SWI2|hSNF2L|-|Xq25-q26.1|protein-coding	7.151	1.792	2.636
NM_020361	chr8	68653595	68658645	-	250.0	1	CPA6|CPAH|ETL5|FEB11|-|8q13.2|protein-coding	1.000	0.000	0.000
NM_017431	chr2	219691526	219696576	-	250.0	1	PRKAG3|AMPKG3|-|2q35|protein-coding	1.000	0.000	0.000
NR_160959	chr6	40346026	40351076	+	250.0	1	TDRG1|LINC00532|lincRNA-NR_024015|-|6p21.2|ncRNA	1.000	0.000	0.000
NR_027397	chr1	170501257	170506307	+	250.0	1	GORAB|GO|NTKLBP1|SCYL1BP1|-|1q24.2|protein-coding	5.939	1.792	3.690
NR_029858	chr4	113564586	113569636	-	250.0	1	MIR302C|MIRN302C|mir-302c|-|4q25|ncRNA	0.545	0.000	2.108
NR_148930	chr3	9791578	9796628	+	250.0	1	OGG1|HMMH|HOGG1|MUTM|OGH1|-|3p25.3|protein-coding	1.703	0.738	7.274
NM_001317093	chr16	3493561	3498611	+	250.0	1	NAA60|HAT4|NAT15|NatF|hNaa60|-|16p13.3|protein-coding	4.281	0.738	1.370
NR_147132	chr12	107168410	107173460	+	250.0	1	RIC8B|RIC8|hSyn|-|12q23.3|protein-coding	5.280	1.898	4.849
NR_002736	chr16	2200106	2205156	-	250.0	1	SNORD60|RNU60|U60|-|16p13.3|snoRNA	60.071	110.692	32.891
NM_001033002	chr17	5322911	5327961	+	250.0	1	RPAIN|HRIP|RIP|-|17p13.2|protein-coding	5.193	4.744	15.497
NM_005640	chr18	23806359	23811409	+	250.0	1	TAF4B|SPGF13|TAF2C2|TAFII105|-|18q11.2|protein-coding	5.328	3.057	8.961
NR_026969	chr6	133409169	133414219	+	250.0	1	LINC00326|NCRNA00326|-|6q23.2|ncRNA	1.000	0.000	0.000
NR_147186	chr4	131297466	131302516	+	250.0	1	LINC02479|-|-|4q28.3|ncRNA	0.960	0.000	0.105
NM_006839	chr2	86417893	86422943	-	250.0	1	IMMT|HMP|MICOS60|MINOS2|Mic60|P87|P87/89|P89|PIG4|PIG52|-|2p11.2|2|protein-coding	1.674	1.054	11.069
NM_001287502	chr7	2598563	2603613	+	250.0	1	IQCE|1700028P05Rik|PAPA7|-|7p22.3|protein-coding	1.006	0.211	4.006
NR_136642	chr2	223183140	223188190	+	250.0	1	CT75|-|-|2q36.1|ncRNA	3.333	0.527	1.265
NR_149312	chr1	229401901	229406951	-	250.0	1	LOC105373159|-|-|1q42.13|ncRNA	5.474	1.581	3.479
NM_001286968	chr19	18387432	18392482	-	250.0	1	JUND|AP-1|-|19p13.11|protein-coding	2.897	2.636	15.813
NM_000444	chrX	22050393	22055443	+	250.0	1	PHEX|HPDR|HPDR1|HYP|HYP1|LXHR|PEX|XLH|-|Xp22.11|protein-coding	0.889	0.000	0.316
NM_178177	chr3	139391892	139396942	-	250.0	1	NMNAT3|FKSG76|PNAT-3|PNAT3|-|3q23|protein-coding	2.914	0.316	0.422
NR_130939	chr17	79628635	79633685	-	250.0	1	OXLD1|C17orf90|-|17q25.3|protein-coding	4.891	4.111	14.126
NR_146228	chr1	167905747	167910797	+	250.0	1	DCAF6|1200006M05Rik|ARCAP|IQWD1|MSTP055|NRIP|PC326|-|1q24.2|protein-coding	2.958	1.265	6.536
NM_144631	chr2	27598601	27603651	-	250.0	1	ZNF513|HMFT0656|RP58|-|2p23.3|protein-coding	1.094	1.160	20.135
NR_046268	chr1	218514020	218519070	-	250.0	1	TGFB2-AS1|-|-|1q41|ncRNA	1.522	0.211	1.792
NM_001172832	chr5	150279545	150284595	-	250.0	1	ZNF300|-|-|5q33.1|protein-coding	2.720	0.316	0.633
NR_110369	chr18	19406367	19411417	-	250.0	1	MIR133A1HG|MIR1-2HG|-|18q11.2|ncRNA	1.234	0.105	1.160
NR_122044	chr5	148442830	148447880	+	250.0	1	SH3TC2-DT|-|-|5q32|ncRNA	1.000	0.000	0.000
NM_001324337	chr10	112679251	112684301	+	250.0	1	SHOC2|SIAA0862|SOC2|SUR8|-|10q25.2|protein-coding	5.262	1.370	2.952
NM_015159	chr11	73304157	73309207	-	250.0	1	FAM168A|KIAA0280|TCRP1|-|11q13.4|protein-coding	2.483	1.054	6.641
NR_039872	chr16	28850328	28855378	-	250.0	1	MIR4721|-|-|16p11.2|ncRNA	5.195	8.539	29.518
NR_046988	chr13	20161208	20166258	+	250.0	1	LINC00350|-|-|13q12.11|ncRNA	0.960	0.000	0.105
NM_001351307	chr16	75730359	75735409	-	250.0	1	DUXB|-|-|16q23.1|protein-coding	0.923	0.000	0.211
NM_001366314	chr17	46889452	46894502	-	250.0	1	TTLL6|TTL.6|-|17q21.32|protein-coding	2.496	0.211	0.105
NM_001321533	chr13	31192007	31197057	+	250.0	1	USPL1|C13orf22|D13S106E|bA121O19.1|-|13q12.3|protein-coding	4.400	1.898	6.325
NR_104612	chr9	37753750	37758800	+	250.0	1	TRMT10B|RG9MTD3|bA3J10.9|-|9p13.2|protein-coding	3.541	1.054	3.901
NM_001365710	chr10	114206923	114211973	+	250.0	1	VTI1A|MMDS3|MVti1|VTI1RP2|Vti1-rp2|-|10q25.2|protein-coding	5.004	1.160	2.425
NM_001321947	chr13	103049793	103054843	-	250.0	1	FGF14|FGF-14|FHF-4|FHF4|SCA27|-|13q33.1|protein-coding	1.000	0.000	0.000
NM_021123	chrX	49216602	49221652	+	250.0	1	GAGE7|AL4|CT4.7|GAGE-7|-|Xp11.4-p11.2|protein-coding	1.000	0.000	0.000
NR_033945	chr3	163016089	163021139	-	250.0	1	LINC01192|CT64|-|3q26.1|ncRNA	1.000	0.000	0.000
NM_022128	chr2	28108254	28113304	-	250.0	1	RBKS|RBSK|RK|-|2p23.2|protein-coding	2.147	0.316	1.476
NR_039619	chr1	85599427	85604477	+	250.0	1	MIR4423|mir-4423|-|1p22.3|ncRNA	0.828	0.000	0.527
NM_016578	chr11	77526880	77531930	-	250.0	1	RSF1|HBXAP|RSF-1|XAP8|p325|-|11q14.1|protein-coding	5.254	2.003	5.271
NR_110248	chr2	152230885	152235935	-	250.0	1	LOC101929319|-|-|2q23.3|ncRNA	1.000	0.000	0.000
NR_046655	chr21	40687583	40692633	+	250.0	1	BRWD1-AS1|-|-|21q22.2|ncRNA	0.522	0.000	2.319
NR_148689	chrX	55744132	55749182	+	250.0	1	RRAGB|RAGB|bA465E19.1|-|Xp11.21|protein-coding	2.829	0.738	3.373
NR_146732	chr1	31297449	31302499	+	250.0	1	LINC01778|-|-|1p35.2|ncRNA	6.336	0.738	0.105
NR_135484	chr17	8193661	8198711	-	250.0	1	SLC25A35|-|-|17p13.1|protein-coding	7.275	2.425	4.217
NM_001242868	chr13	78271772	78276822	+	250.0	1	SLAIN1|C13orf32|-|13q22.3|protein-coding	2.822	2.425	14.864
NM_001040704	chr8	7338909	7343959	-	250.0	2	DEFB106B|BD-6|DEFB-6|-|8p23.1|protein-coding	1.000	0.000	0.000
NM_001353174	chr17	42264521	42269571	+	250.0	1	TMUB2|FP2653|-|17q21.31|protein-coding	1.542	1.265	14.864
NR_125851	chr6	10949322	10954372	-	250.0	1	LOC101928191|-|-|6p24.2|ncRNA	1.328	0.211	2.425
NR_103723	chr4	76434640	76439690	-	250.0	1	RCHY1|ARNIP|CHIMP|PIRH2|PRO1996|RNF199|ZCHY|ZNF363|-|4q21.1|protein-coding	6.847	2.425	4.639
NM_012323	chr22	38597951	38603001	+	250.0	1	MAFF|U-MAF|hMafF|-|22q13.1|protein-coding	0.706	0.000	1.054
NR_135505	chr15	32960266	32965316	-	250.0	1	LOC105370757|-|-|15q13.3|ncRNA	1.309	0.105	0.949
NR_028588	chr6	4130831	4135881	-	250.0	1	ECI2|ACBD2|DRS-1|DRS1|HCA88|PECI|dJ1013A10.3|-|6p25.2|protein-coding	7.754	2.636	4.322
NM_001316	chr20	47662799	47667849	+	250.0	1	CSE1L|CAS|CSE1|XPO2|-|20q13.13|protein-coding	10.204	8.328	13.388
NM_023940	chr4	53728434	53733484	+	250.0	1	RASL11B|-|-|4q12|protein-coding	4.505	1.476	4.322
NM_001039355	chr14	100767781	100772831	-	250.0	1	SLC25A29|C14orf69|CACL|ORNT3|-|14q32.2|protein-coding	3.508	1.370	5.693
NM_024570	chr13	51483764	51488814	+	250.0	1	RNASEH2B|AGS2|DLEU8|-|13q14.3|protein-coding	5.511	2.319	6.009
NM_001308203	chr1	66999226	67004276	+	250.0	1	SGIP1|-|-|1p31.3|protein-coding	1.000	0.000	0.000
NM_152565	chr8	87111089	87116139	+	250.0	1	ATP6V0D2|ATP6D2|VMA6|-|8q21.3|protein-coding	1.000	0.000	0.000
NR_107001	chr11	1901225	1906275	+	250.0	1	MIR7847|hsa-mir-7847|-|11p15.5|ncRNA	1.000	0.000	0.000
NM_005338	chr7	75363259	75368309	-	250.0	1	HIP1|HIP-I|ILWEQ|SHON|SHONbeta|SHONgamma|-|7q11.23|protein-coding	2.105	0.527	3.479
NM_001278481	chr13	37628850	37633900	-	250.0	1	SUPT20H|C13|C13orf19|FAM48A|FP757|P38IP|SPT20|-|13q13.3|protein-coding	4.485	1.370	3.901
NR_147886	chr17	60783517	60788567	+	250.0	1	LOC105371855|-|-|-|ncRNA	1.000	0.000	0.000
NM_001018055	chrX	154299645	154304695	+	250.0	1	BRCC3|BRCC36|C6.1A|CXorf53|-|Xq28|protein-coding	6.720	2.636	5.376
NM_003200	chr19	1647614	1652664	-	250.0	1	TCF3|AGM8|E2A|E47|ITF1|TCF-3|VDIR|bHLHb21|p75|-|19p13.3|protein-coding	3.181	1.370	6.536
NR_146405	chr2	37458724	37463774	+	250.0	1	NDUFAF7|C2orf56|MidA|PRO1853|-|2p22.2|protein-coding	8.681	2.108	2.425
NM_006139	chr2	204571312	204576362	+	250.0	1	CD28|Tp44|-|2q33.2|protein-coding	1.000	0.000	0.000
NR_147832	chr15	67547074	67552124	+	250.0	1	IQCH|NYDSP5|-|15q23|protein-coding	8.800	1.898	1.898
NM_207406	chr4	42149672	42154722	-	250.0	1	BEND4|CCDC4|-|4p13|protein-coding	0.982	0.105	2.108
NM_032901	chr12	50505969	50511019	+	250.0	1	COX14|C12orf62|PCAG1|-|12q13.12|protein-coding	3.927	2.003	7.907
NM_206885	chr7	103081654	103086704	-	250.0	1	SLC26A5|DFNB61|PRES|-|7q22.1|protein-coding	1.000	0.000	0.000
NR_146584	chrX	101854393	101859443	+	250.0	1	ARMCX5-GPRASP2|ARMCX5-GPRASP2-BHLHB9-LINC00630|bHLHb9|p60TRP|-|Xq22.1|protein-coding	5.320	3.373	10.120
NM_001281837	chr1	247681704	247686754	+	250.0	1	GCSAML|C1orf150|-|1q44|protein-coding	1.000	0.000	0.000
NM_001143976	chr11	9596184	9601234	+	250.0	1	WEE1|WEE1A|WEE1hu|-|11p15.4|protein-coding	1.574	0.949	10.647
NR_149141	chr2	97474394	97479444	-	250.0	1	CNNM3-DT|-|-|2q11.2|ncRNA	0.408	0.105	8.644
NR_046664	chr3	173633586	173638636	-	250.0	1	NLGN1-AS1|-|-|3q26.31|ncRNA	0.828	0.000	0.527
NR_038382	chr10	91589200	91594250	+	250.0	1	LINC00865|-|-|10q23.31|ncRNA	1.000	0.000	0.000
NM_052958	chr8	69243140	69248190	+	250.0	1	C8orf34|VEST-1|VEST1|-|8q13.2|protein-coding	4.000	0.527	0.633
NM_015859	chr14	81682303	81687353	-	250.0	1	GTF2A1|TF2A1|TFIIA|TFIIA-42|TFIIAL|-|14q31.1|protein-coding	7.463	6.220	13.810
NM_001354710	chr3	24531341	24536391	-	250.0	1	THRB|C-ERBA-2|C-ERBA-BETA|ERBA2|GRTH|NR1A2|PRTH|THR1|THRB1|THRB2|-|3p24.2|protein-coding	2.640	0.738	3.795
NM_003296	chr6	49676256	49681306	-	250.0	1	CRISP2|CRISP-2|CT36|GAPDL5|TPX1|TSP1|-|6p12.3|protein-coding	1.000	0.000	0.000
NM_001291476	chr17	35998475	36003525	-	250.0	1	DDX52|HUSSY19|ROK1|-|17q12|protein-coding	5.067	1.370	3.163
NR_146624	chr5	60555756	60560806	-	250.0	1	LINC02057|-|-|5q12.1|ncRNA	0.960	0.000	0.105
NM_018279	chr12	72079812	72084862	+	250.0	1	TMEM19|-|-|12q21.1|protein-coding	7.034	2.108	3.584
NR_125875	chr6	85399126	85404176	+	250.0	1	TBX18-AS1|-|-|6q14.3|ncRNA	0.960	0.000	0.105
